"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",230.001744891799,-0.0711646476842042,0.158012773209333,-0.450372753030077,0.652441688087449,0.988621668592431
"WASH9P",272.911343802244,-0.117641732517651,0.136113537118454,-0.864291201361344,0.387427942382699,0.962354934750474
"RP4-669L17.4",24.5987453219911,-0.437551219395894,0.432786736091155,-1.01100884779365,0.312012195094936,NA
"RP11-206L10.17",47.2395857136417,0.447091859150066,0.331613880805757,1.34823023108598,0.177584344122987,0.898066877682006
"MTND1P23",16.1242917213189,-0.683049898172194,0.53496537094336,-1.27681142606988,0.201668830620282,NA
"MTND2P28",3907.47080829159,-0.0920606765913196,0.0687431639144458,-1.33919754851397,0.180506370305339,0.902038913715333
"MTCO1P12",1277.52984638925,-0.135068756744671,0.0720673338474943,-1.87420221525743,0.0609025589295439,0.75509012182345
"MTATP6P1",3635.28735134624,-0.139388931602575,0.0706346281840129,-1.97337956164288,0.0484523344118699,0.734807590403008
"MTCO3P12",15.7759450378509,0.139520955978713,0.519021681004299,0.268815275132134,0.788071838020938,NA
"RP11-206L10.2",321.003933628801,0.224296746936882,0.132257824430806,1.69590531147916,0.0899038136209179,0.819048404240716
"LINC01409",13.5729998549719,-0.0939244417770684,0.647179761391897,-0.145128830319205,0.884609155955769,NA
"LINC01128",509.118797522307,-0.0217322544972256,0.102908401271179,-0.21118056668627,0.83274637433709,0.995551787914465
"LINC00115",32.8620178824805,-0.156172734590378,0.406565982678406,-0.384126417959346,0.700884752020384,NA
"NOC2L",8070.59087923378,-0.0341799131107091,0.0495797517569289,-0.689392582647054,0.490576249873758,0.975033954092076
"KLHL17",915.658641681852,-0.0727139275299747,0.0788924555823815,-0.921684171106133,0.356693339445553,0.953758832444127
"PLEKHN1",50.7565639439204,-0.084723151295269,0.340341269516242,-0.248935873735483,0.803410385348335,0.995551787914465
"PERM1",362.136997577756,-0.326199608067739,0.133859248966271,-2.43688509077123,0.0148143861555413,0.527407907122544
"RP11-54O7.17",304.811411931964,-0.161699514786221,0.144741771652671,-1.11715859865418,0.263926519072597,0.945805042729682
"HES4",5262.70778375469,-0.143112501383009,0.0711473162919627,-2.01149542725867,0.0442731528385476,0.713460283938059
"ISG15",20949.1788953842,0.0423095082710323,0.0496791127422969,0.851655875790428,0.394405117357262,0.966096672290442
"RP11-54O7.11",85.3711811629789,0.00364947629655137,0.253060993789965,0.0144213307704796,0.988493841665179,0.998710430067859
"AGRN",10283.9085548433,0.0456871559945619,0.0443226358853199,1.03078607763249,0.302641148479571,0.950903209566318
"RP11-465B22.3",71.1153955396032,0.0917771163323133,0.283227145099765,0.324040678727971,0.745907237166963,0.995551787914465
"RP11-54O7.18",6.95585824566698,0.143803995118023,0.786574510020016,0.182823106121712,0.854936818100347,NA
"C1orf159",646.09746781974,0.177407120303618,0.105514543052311,1.68135230624715,0.0926945036175844,0.82631218442467
"SDF4",10773.9971075104,-0.00902673386711495,0.0545856747771113,-0.165368183208757,0.868654194985535,0.995551787914465
"B3GALT6",637.186364960769,0.0334763091657841,0.100639769229084,0.332634995312665,0.739409823784874,0.995551787914465
"C1QTNF12",28.7860661011866,0.523878690890087,0.41392920281742,1.26562389733388,0.205647766195902,NA
"UBE2J2",3208.73329064606,-0.0223636380296007,0.0567445383653932,-0.394110846150431,0.693499203662802,0.991599612399415
"LINC01786",10.7531021784834,0.0729172176101568,0.644672396824157,0.113107398376862,0.909945409579194,NA
"SCNN1D",101.989265876126,-0.0398468602981663,0.210479935203189,-0.189314293829005,0.849846493036999,0.995551787914465
"ACAP3",4881.75815688688,-0.00679446025640746,0.0556188015905841,-0.122161212793152,0.902771344033774,0.995621400230418
"PUSL1",548.31796007037,-0.0574712049994763,0.101700256085536,-0.565103837606267,0.572003138415602,0.980945291317768
"INTS11",4163.45981718202,-0.0463620958900103,0.0505140798104509,-0.91780541314381,0.358720747788468,0.954173815791985
"RP5-890O3.9",76.1380863922768,0.59172497631476,0.260224212277513,2.27390438090258,0.022971736248219,0.606406319059957
"CPTP",2152.37742399545,0.00412438978291384,0.0607320123121188,0.0679112979447717,0.945856245058714,0.997853111283961
"DVL1",2126.71555874481,-0.053192181087467,0.0627906633804051,-0.847135198512117,0.396919767897945,0.966127931623612
"MXRA8",38.2220393447375,-0.240197542187974,0.365144008230374,-0.657815921318446,0.510656422485442,0.976541008316417
"AURKAIP1",5116.99670621265,-0.0572269816889414,0.0638939685309173,-0.895655458640828,0.370436806175186,0.959426284370815
"CCNL2",6644.26078895783,0.0475295146601766,0.0454237160116723,1.04635901316315,0.29539530869376,0.950903209566318
"MRPL20-AS1",956.279874047164,0.0279178130401879,0.0788687181762984,0.353978277899511,0.723355162378339,0.995551787914465
"MRPL20",2511.32100826753,0.028024179063313,0.061700412374023,0.454197597472001,0.64968661210989,0.988621668592431
"MRPL20-DT",98.1500084012638,-0.114179178737451,0.229030592005216,-0.49853243506811,0.618108813757966,0.987267238106346
