"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH9P",158.339387620935,0.735935818049242,0.516807918144398,1.4240025978929,0.154445720040297,0.574250654029296
"MTND1P23",32.3995440490925,-0.394409898782358,0.61302489731371,-0.643383165203685,0.519975504359196,0.790352075351853
"MTND2P28",6152.19402186317,0.375986541482935,0.965015446125905,0.389617122702386,0.696819688733354,0.880337190678239
"MTCO1P12",1997.97282220734,0.422152608176355,0.492736323851811,0.856751547919808,0.391582208278102,0.708267410266007
"MTATP6P1",10859.6088389687,-0.00147336772551375,0.982894511568188,-0.00149900900673768,0.998803964304941,0.999600401633531
"LINC01128",685.59533275753,-0.483712824744953,0.31005073446665,-1.56010862408385,0.118734213908552,0.574250654029296
"NOC2L",6689.4894028431,1.05771290009063,0.828415429965489,1.27679043850583,0.201676242087398,0.587707886313313
"KLHL17",667.623022627736,1.39743043744051,0.954187440546063,1.46452403171518,NA,NA
"HES4",4251.43012581903,-2.24239922143792,1.26350853821697,-1.77474006198829,0.0759408171506209,0.574250654029296
"ISG15",44507.0829271649,-1.73957963542595,1.07132605981428,-1.62376301732781,0.104426395826515,0.574250654029296
"AGRN",10555.2743671632,1.46873515832336,0.943723505455186,1.55631935607554,NA,NA
"C1orf159",782.913886710184,0.743351928293712,0.545204970540703,1.36343571401504,0.172745231894754,0.579353977045281
"SDF4",14512.46230358,0.608146814003705,0.39368626794475,1.54474987704944,0.122406775383397,0.574250654029296
"B3GALT6",1756.91205683607,-0.466156591221781,0.731416955503833,-0.637333586149464,0.52390757833116,0.791772596511887
"UBE2J2",3977.0819190199,-0.529201265404469,0.726833048947524,-0.728091913501688,0.466557323630114,0.756907054786466
"LINC01786",27.476452692364,-0.217173751467736,0.566409204900377,-0.383422002306502,0.701406892100945,0.882663523776561
"ACAP3",4346.10898922209,0.82366269720145,0.664059188341521,1.24034530605402,0.214847701565874,0.595489293272909
"PUSL1",616.654659970882,0.612542871015416,1.00066916422653,0.612133253340412,0.540449598034138,0.803589220926488
"INTS11",3912.91312019177,0.800945369756822,0.497106449827186,1.61121500241098,0.107132869016447,0.574250654029296
"CPTP",2879.48117676127,1.19984848707053,0.730711651702732,1.64202730895915,0.100584344676582,0.574250654029296
"DVL1",2889.5400937361,0.961033080677681,0.679027117801212,1.41530883742853,0.156977965005068,0.576507971324132
"AURKAIP1",11226.8273751453,-0.958984614464975,1.01897733353326,-0.941124579424884,0.346641020902365,0.67995522013234
"CCNL2",5389.13746091253,0.748264518889621,0.514375172872948,1.45470574466168,0.14575074153977,0.574250654029296
"MRPL20-AS1",855.424060802836,0.96176042956401,0.523120121582004,1.83850781089338,0.0659876119518958,0.574250654029296
"MRPL20",5568.45897182408,-1.38822706306749,0.849691709781788,-1.63380087987913,NA,NA
"MRPL20-DT",253.288204866633,0.410762479409927,0.553693766600123,0.741858594385404,0.458173014918641,0.752063254137515
