"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"WASH7P",77.4403813372756,75.652180800714,83.7417992554963,232.861932164553,202.598627848759,234.961500080482,151.209403581213,1.50361502912313,0.189856201531295,7.9197572530981,2.37974718177841e-15,1.18448257785605e-14,"UP",NA
"WASH9P",195.752075047002,148.356874037764,163.348201016894,267.401261815754,230.581863739471,262.814079117378,211.375725795711,0.587573055792933,0.164843637843194,3.56442664988902,0.000364652404190985,0.000781870065029603,"UP",NA
"RP4-669L17.4",9.68004766715945,5.89497512732836,7.23694561467252,26.7401261815754,16.7899415344275,24.2817355706273,15.1039619492984,1.58001540100689,0.5873362302803,2.69013781127182,0.00714225174762804,0.012808749052999,"UP",NA
"RP11-206L10.17",23.6623387419453,48.1422968731816,36.1847280733626,37.8818454238985,50.3698246032826,70.7027006321208,44.4906223912986,0.566892255422654,0.369010774600067,1.53624851750481,0.124477440754821,0.174725110779332,"NO",NA
"MTND1P23",26.8890212976651,28.4923797820871,13.4400418558204,16.7125788634846,11.193294356285,8.57002431904494,17.5495567457312,-0.937535202383208,0.550418316028412,-1.7033139615485,0.0885093292026636,0.12859186502333,"NO",NA
"MTND2P28",5832.76649988952,6387.20555046028,5607.59900199768,3460.61799666555,4055.33054528206,3592.98269575959,4822.75038167578,-0.68292022257856,0.0719950560947967,-9.48565442715055,2.40866888017849e-21,1.53778860013056e-20,"DOWN",NA
"MTCO1P12",1993.01425858294,1982.67663449144,1791.66096431821,1163.19548889853,1241.33634411201,1169.80831954963,1556.94866832546,-0.690958485157592,0.0759087832855757,-9.10248399790765,8.82890169509047e-20,5.29802996763525e-19,"DOWN",NA
"MTATP6P1",7156.78190858655,7495.46087439801,6476.03247575838,3117.453044002,3709.45774967286,3330.88278533547,5214.34480629221,-1.05688478042693,0.0738586557865361,-14.309558834668,1.90719331670944e-46,2.63072943596334e-45,"DOWN",NA
"MTCO3P12",34.4179472610114,41.2648258912985,25.8462343381161,17.8267507877169,13.431953227542,17.1400486380899,24.9879600239625,-1.06495544645206,0.445449480984393,-2.39074348924738,0.0168142957356183,0.0282936398702199,"DOWN",NA
"RP11-206L10.2",219.414413788948,209.271617020157,223.311464681323,378.818454238985,427.583844410088,434.214565498277,315.435726606296,0.930532326840887,0.13309234691824,6.99162910856567,2.71712414538862e-12,1.13681635897924e-11,"UP",NA
"LINC01409",22.5867778900387,48.1422968731816,62.0309624114787,6.68503154539385,24.6252475838271,7.8558556257912,28.6543619882852,-1.79138736865352,0.525945945824915,-3.40602942730899,0.000659150739447529,0.00136922452359576,"DOWN",NA
"LINC01128",493.682431025132,498.125398259247,491.078452424207,519.204116692256,508.17556377534,473.493843627233,497.293300967236,0.0146749732538817,0.105998840696437,0.13844465804969,0.889889004785604,0.914811369133252,"NO",NA
"LINC00115",45.1735557800774,46.1773051640722,36.1847280733626,35.6535015754339,20.147929841313,35.7084346626873,36.5075758494911,-0.468257673921698,0.373483199389202,-1.25375833421019,0.209929857813335,0.275652797162904,"NO",NA
"NOC2L",7939.79020877456,7370.68390086956,7852.08599191968,8104.48657686581,7387.57427514812,7902.99075954595,7759.60195218728,0.0146439572697537,0.0579257406063177,0.252805697716993,0.80041836455338,0.841163952636213,"NO",NA
"KLHL17",792.688347855168,871.473822990043,820.876402578569,890.223367461615,897.702207374059,834.149033720375,851.185530329971,0.0751190621789461,0.0884685500652834,0.849104705836297,0.39582303211556,0.473497568168104,"NO",NA
"PLEKHN1",23.6623387419453,45.1948093095175,36.1847280733626,25.6259542573431,53.7278129101681,64.9893510860908,41.5641657297379,0.468210641427407,0.396934910712513,1.17956528587256,0.238173156472293,0.307927298801602,"NO",NA
"PERM1",38.7201906686378,74.6696849461593,38.2524268204119,285.228012603471,280.951688342754,374.938563958216,182.126761223275,2.63084417595896,0.230906967708981,11.3935244226787,4.50395759550936e-30,3.89162178758056e-29,"UP",NA
