"","A1","A2","A3","B1","B2","B3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",85.2606908597575,79.0169768286128,100.183448225439,137.922583495096,97.3547391293948,76.1946814348723,95.988853328862,-0.229047150924247,0.263943503438395,-0.867788553006412,0.385510097699319,0.666610041280719
"WASH9P",89.74809564185,100.162364994016,142.096931666694,195.47301401823,139.947437498505,114.676843775717,130.350781265835,-0.432986481498596,0.257337022165519,-1.68256583469789,0.0924591702551949,0.318209141363082
"RP4-669L17.4",12.3403631507544,8.90332133280144,8.17824067146441,27.7829664594438,27.3810203801423,18.4714379236054,17.1762249863686,-1.31968519426882,0.510734788851834,-2.58389524871718,0.00976914600039037,NA
"RP11-206L10.17",23.5588751059856,26.7099639984043,10.2228008393305,46.6356936997807,30.4233559779359,36.1732326003939,28.9539870369718,-0.911377954700542,0.433617623659106,-2.10180099925328,0.0355707115834045,NA
"MTND1P23",26.924428692555,30.0487094982049,28.6238423501254,25.7984688551978,28.3951322460735,36.9428758472108,29.4555762482279,-0.0987676151561168,0.370041010006919,-0.266909916698882,0.789538521135424,NA
"MTND2P28",8450.9050558757,7383.07921522559,8155.75050961788,9031.44859692348,8160.55818514833,9532.0316118272,8452.29552910303,-0.1558529956836,0.0953805493043603,-1.63401235178749,0.102256257062625,0.335671532117327
"MTCO1P12",1830.86115109374,1446.78971658023,1632.58129404108,1739.41215012161,1559.70404980218,1822.5152084624,1671.97726168354,-0.061350080005568,0.115700278853462,-0.530250061741596,0.595938565611788,0.810843555783987
"MTCO2P12",37.0210894522631,33.3874549980054,37.8243631055229,51.5969377103956,29.4092441120047,44.6393083153797,38.9797329489286,-0.217608614272634,0.342442787184022,-0.63545976851221,0.52512859770464,0.762481121250402
"MTATP6P1",8992.75918331337,7954.00469569148,8333.62724422223,9369.80543844742,8964.74889483177,11250.6449819693,9144.26507307927,-0.227063306317034,0.107580758056419,-2.110631217136,0.0348040222851948,0.177692282593228
"MTCO3P12",53.84885738511,35.6132853312058,48.0471639448534,63.5039233358715,39.5503627713166,37.7125190940277,46.3793519770642,-0.0280624467439533,0.336674048613863,-0.0833519745863708,0.933571674293053,0.976665084555568
"RP11-206L10.2",189.592852043408,257.083403484642,114.495369400502,215.317990060689,253.527966482799,238.589406513236,211.434497997546,-0.336244877363884,0.24655582001899,-1.36376775586959,0.172640671501073,0.44717493520252
"LINC01409",74.0421789045263,34.5003701646056,52.1362842805856,60.5271769295026,49.6914814306286,52.3357407835486,53.8722054155662,-0.0166948934233757,0.324462539237862,-0.0514539936184645,0.958963761031112,0.984923729572909
"LINC01128",408.353835170417,445.166066640072,446.736396678743,365.147559181261,434.039878618552,404.832347825685,417.379347352455,0.111224666530247,0.126876054513303,0.876640331833347,0.38068202536334,0.66325315769303
"LINC00115",15.7059167373238,26.7099639984043,18.4010415107949,16.8682296360909,12.1693423911744,22.3196541576899,18.6956914052463,0.230546746839236,0.483640758499266,0.476690069618245,0.633582835197302,NA
"NOC2L",9032.02397515668,9299.5191321111,9548.0959839347,8160.25414865949,7967.87693062141,7976.58261001026,8664.05879674894,0.20996001919304,0.0705867358717585,2.97449678895046,0.00293469527309823,0.033854588139281
