"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"isoComp_00000812","geneComp_00000135","ENST00000367660.4","ABRACL","d","f","ABRACL","protein_coding","protein_coding",145.516108700207,223.197271773234,67.8349456271804,82.2714101072425,3.28886803337958,-1.71807078328312,NA,145.516108700207,223.197271773234,67.8349456271804,82.2714101072425,3.28886803337958,-1.71807078328312,NA,1,1,1,0,NA,NA,FALSE
"isoComp_00001217","geneComp_00000404","ENST00000425688.1","AC009495.2","d","f","AC009495.2","lncRNA","lncRNA",0.468457032675286,0.445513198850077,0.491400866500496,0.445513198850077,0.156707850201027,0.138471631534059,NA,0.468457032675286,0.445513198850077,0.491400866500496,0.445513198850077,0.156707850201027,0.138471631534059,NA,1,1,1,0,NA,NA,NA
"isoComp_00001227","geneComp_00000409","ENST00000418474.1","AC009506.1","d","f","AC009506.1","lncRNA","lncRNA",4.80546531268099,3.54027828058938,6.0706523447726,0.956098880473408,0.747023306631898,0.77629399577516,NA,4.80546531268099,3.54027828058938,6.0706523447726,0.956098880473408,0.747023306631898,0.77629399577516,NA,1,1,1,0,NA,NA,NA
"isoComp_00003490","geneComp_00001033","ENST00000432230.6","AF127936.9","d","f","AF127936.9","lncRNA","lncRNA",0.216219904107892,0.252518585981988,0.179921222233796,0.0282853731429468,0.0301604827406639,-0.467018442814439,NA,0.216219904107892,0.252518585981988,0.179921222233796,0.0282853731429468,0.0301604827406639,-0.467018442814439,NA,1,1,1,0,NA,NA,NA
"isoComp_00004160","geneComp_00001159","ENST00000380818.7","AK6","d","f","AK6","protein_coding","protein_coding",67.5381616646177,86.8109072362171,48.2654160930184,43.5244096026902,2.56787654609758,-0.846753804096996,NA,24.5654714333276,22.8261234020354,26.3048194646199,11.0467193123086,1.58204246753069,0.204557733600529,NA,0.42755,0.3082,0.5469,0.2387,NA,NA,FALSE
"isoComp_00004161","geneComp_00001159","ENST00000380822.9","AK6","d","f","AK6","protein_coding","protein_coding",67.5381616646177,86.8109072362171,48.2654160930184,43.5244096026902,2.56787654609758,-0.846753804096996,NA,3.01599304907832,3.49364302315656,2.53834307500008,1.25286041903856,0.61929460958449,-0.459296274145565,NA,0.0662333333333333,0.0783666666666667,0.0541,-0.0242666666666667,NA,NA,FALSE
"isoComp_00004162","geneComp_00001159","ENST00000502819.5","AK6","d","f","AK6","protein_coding","protein_coding",67.5381616646177,86.8109072362171,48.2654160930184,43.5244096026902,2.56787654609758,-0.846753804096996,NA,21.924552706037,43.5825895986877,0.26651581338628,36.8394262771521,0.26651581338628,-7.30057711101626,NA,0.156016666666667,0.305933333333333,0.0061,-0.299833333333333,NA,NA,FALSE
"isoComp_00004163","geneComp_00001159","ENST00000512561.5","AK6","d","f","AK6","protein_coding","protein_coding",67.5381616646177,86.8109072362171,48.2654160930184,43.5244096026902,2.56787654609758,-0.846753804096996,NA,14.2741815693325,13.1176835501336,15.4306795885313,8.75482093895363,2.80242721596442,0.23412388369986,NA,0.275,0.233666666666667,0.316333333333333,0.0826666666666667,NA,NA,FALSE
"isoComp_00004164","geneComp_00001159","ENST00000618980.1","AK6","d","f","AK6","protein_coding","protein_coding",67.5381616646177,86.8109072362171,48.2654160930184,43.5244096026902,2.56787654609758,-0.846753804096996,NA,3.75796290684228,3.79086766220379,3.72505815148077,1.89549174131635,0.512705997933229,-0.0251980899797173,NA,0.0751833333333333,0.0738,0.0765666666666667,0.00276666666666667,NA,NA,FALSE
"isoComp_00004225","geneComp_00001173","ENST00000320636.5","AKAP5","d","f","AKAP5","protein_coding","protein_coding",0.376925876695778,0.620659686590689,0.133192066800867,0.192417549468978,0.0425063151929047,-2.13891014943521,NA,0.144029866233865,0.230297479027235,0.0577622534404947,0.215724186321953,0.0577622534404947,-1.82626775561404,NA,0.292033333333333,0.311333333333333,0.272733333333333,-0.0386,NA,NA,FALSE
