"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"53944","isoComp_00000678","geneComp_00000117","ENST00000352732.10","ABHD2","d","f","ABHD2","protein_coding","protein_coding",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,5.68300220531967,8.11002904532575,3.25597536531358,2.62495414814949,0.0966516641779394,-1.31397097899475,NA,0.5814,0.738966666666667,0.423833333333333,-0.315133333333333,0.680003526101438,0.0355920821907998,FALSE
"53945","isoComp_00000679","geneComp_00000117","ENST00000562073.1","ABHD2","d","f","ABHD2","protein_coding","processed_transcript",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,2.72306680908672,3.98989425747072,1.45623936070272,3.98989425747072,0.998383826929113,-1.44784122110392,NA,0.170233333333333,0.1877,0.152766666666667,-0.0349333333333333,0.856761160826132,0.0355920821907998,NA
"53947","isoComp_00000681","geneComp_00000117","ENST00000564876.5","ABHD2","d","f","ABHD2","protein_coding","processed_transcript",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.177666077962443,0.176894946602237,0.178437209322649,0.176894946602237,0.0911697874323402,0.0118563105566992,NA,0.0185166666666667,0.0127,0.0243333333333333,0.0116333333333333,0.897789227381263,0.0355920821907998,NA
"53948","isoComp_00000682","geneComp_00000117","ENST00000565066.5","ABHD2","d","f","ABHD2","protein_coding","protein_coding",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.288101245283624,0.275169916936812,0.301032573630435,0.275169916936812,0.152072535875342,0.125243880521151,NA,0.0265666666666667,0.0197333333333333,0.0334,0.0136666666666667,0.876271606816444,0.0355920821907998,FALSE
"53949","isoComp_00000683","geneComp_00000117","ENST00000565973.5","ABHD2","d","f","ABHD2","protein_coding","protein_coding",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.454722358798315,0.0912871070031473,0.818157610593483,0.0912871070031473,0.376858257601161,3.03145481709342,NA,0.0734166666666667,0.0259333333333333,0.1209,0.0949666666666667,0.54756193316913,0.0355920821907998,FALSE
"53950","isoComp_00000684","geneComp_00000117","ENST00000568308.1","ABHD2","d","f","ABHD2","protein_coding","retained_intron",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.212897430645377,0.108102467368033,0.317692393922721,0.108102467368033,0.317692393922721,1.47230308135059,NA,0.0238166666666667,0.00776666666666667,0.0398666666666667,0.0321,0.987800102595755,0.0355920821907998,NA
"53951","isoComp_00000685","geneComp_00000117","ENST00000569411.5","ABHD2","d","f","ABHD2","protein_coding","protein_coding",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.791186857064146,0,1.58237371412829,0,0.573439477511246,7.31503515143986,NA,0.0918,0,0.1836,0.1836,0.0355920821907998,0.0355920821907998,FALSE
"53952","isoComp_00000686","geneComp_00000117","ENST00000569550.5","ABHD2","d","f","ABHD2","protein_coding","protein_coding",10.4712897240666,12.9044818948691,8.03809755326406,5.14579685839924,1.18391324999057,-0.682270068683573,NA,0.0640946628250909,0,0.128189325650182,0,0.128189325650182,3.7885742748226,NA,0.01065,0,0.0213,0.0213,0.896868043595238,0.0355920821907998,FALSE
"112218","isoComp_00000871","geneComp_00000172","ENST00000440971.2","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,2.80381817928198,2.104902652163,3.50273370640096,0.402851066183174,0.377763347172552,0.73200295437096,NA,0.257833333333333,0.207633333333333,0.308033333333333,0.1004,0.905307761852826,0.0387738811543679,NA
"112219","isoComp_00000872","geneComp_00000172","ENST00000457510.2","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,0.324397438951125,0,0.64879487790225,0,0.52300330105484,6.0417574331123,NA,0.02705,0,0.0541,0.0541,0.587303308788589,0.0387738811543679,NA
"112220","isoComp_00000873","geneComp_00000172","ENST00000653575.1","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,3.21855725174791,1.84846421885968,4.58865028463614,0.927573370883245,1.15573611409284,1.30709957653357,NA,0.330483333333333,0.266833333333333,0.394133333333333,0.1273,0.906659479142436,0.0387738811543679,NA
"112221","isoComp_00000874","geneComp_00000172","ENST00000658766.1","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,0.130486599331252,0.163786648240759,0.0971865504217452,0.130905480953738,0.0432943838544784,-0.697193356045535,NA,0.0179666666666667,0.0272666666666667,0.00866666666666667,-0.0186,0.979744267830573,0.0387738811543679,NA
"112222","isoComp_00000875","geneComp_00000172","ENST00000663315.1","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,1.58256750185864,0.481547354639422,2.68358764907786,0.481547354639422,0.548108920849896,2.45412669651299,NA,0.145666666666667,0.0562666666666667,0.235066666666667,0.1788,0.514810780768003,0.0387738811543679,NA
"112223","isoComp_00000876","geneComp_00000172","ENST00000671091.1","AC002467.7","d","f","AC002467.7","lncRNA","lncRNA",12.4857719935148,13.4505909185906,11.520953068439,6.36212041340299,0.492983543688067,-0.223229984442956,NA,4.42594502234385,8.85189004468769,0,7.39594557872297,0,-9.79147061624111,NA,0.221,0.442,0,-0.442,0.0387738811543679,0.0387738811543679,NA
"21060","isoComp_00002316","geneComp_00000804","ENST00000258873.9","ACSBG1","d","f","ACSBG1","protein_coding","protein_coding",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,1.21427064180739,1.43395271569398,0.994588567920803,0.647316219695864,0.220547620563569,-0.523418737331514,NA,0.160916666666667,0.259,0.0628333333333333,-0.196166666666667,0.940251181870236,0.045735171038798,FALSE
"21061","isoComp_00002317","geneComp_00000804","ENST00000557935.1","ACSBG1","d","f","ACSBG1","protein_coding","nonsense_mediated_decay",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,0.221319857156153,0.163791617224293,0.278848097088013,0.163791617224293,0.139690779514787,0.732952494372895,NA,0.01255,0.0083,0.0168,0.0085,0.903814687025889,0.045735171038798,TRUE
"21062","isoComp_00002318","geneComp_00000804","ENST00000558130.1","ACSBG1","d","f","ACSBG1","protein_coding","protein_coding",15.060337363557,14.090997458344,16.0296772687701,5.14888999040955,1.01937031590313,0.185847896145881,NA,2.17744269149526,1.31245552345613,3.0424298595344,0.80010525410267,0.868722044726419,1.2067389417868,NA,0.167166666666667,0.149366666666667,0.184966666666667,0.0356,0.921373764308674,0.045735171038798,FALSE
